time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-04-01 23:23:22,Reconnected,Sat 01 Apr 23:23,0:44:36,None,
2017-04-01 23:28:47,Disconnected,Sat 01 Apr 23:25,None,0:02:14,
2017-04-02 01:13:27,Reconnected,Sun 02 Apr 01:13,1:47:50,None,
2017-04-02 01:15:54,Currently disconnected,Sun 02 Apr 01:15,None,None,
2017-04-02 01:26:37,Disconnected,Sun 02 Apr 01:22,None,0:09:18,
2017-04-02 01:38:30,Reconnected,Sun 02 Apr 01:38,0:15:44,None,
2017-04-02 01:51:51,Disconnected,Sun 02 Apr 01:48,None,0:10:02,
2017-04-02 02:04:39,Reconnected,Sun 02 Apr 02:04,0:16:06,None,
2017-04-02 02:48:20,Currently disconnected,Sun 02 Apr 02:48,None,None,
2017-04-02 03:18:51,Disconnected,Sun 02 Apr 03:15,None,1:10:52,
2017-04-02 04:18:08,Reconnected,Sun 02 Apr 04:18,1:02:37,None,
2017-04-02 05:28:09,Disconnected,Sun 02 Apr 05:23,None,1:05:42,
2017-04-02 06:17:53,Reconnected,Sun 02 Apr 06:17,0:54:02,None,
2017-04-02 06:35:02,Disconnected,Sun 02 Apr 06:31,None,0:13:53,
2017-04-02 06:56:25,Reconnected,Sun 02 Apr 06:56,0:24:37,None,
2017-04-02 07:08:14,Disconnected,Sun 02 Apr 07:04,None,0:07:47,
2017-04-02 07:25:50,Reconnected,Sun 02 Apr 07:25,0:21:38,None,
2017-04-02 07:29:00,Currently disconnected,Sun 02 Apr 07:29,None,None,
2017-04-02 07:59:08,Disconnected,Sun 02 Apr 07:55,None,0:29:30,
2017-04-02 08:06:45,Reconnected,Sun 02 Apr 08:06,0:11:24,None,
2017-04-02 08:18:55,Disconnected,Sun 02 Apr 08:15,None,0:08:38,
2017-04-02 08:36:26,Reconnected,Sun 02 Apr 08:36,0:21:01,None,
2017-04-02 08:47:11,Disconnected,Sun 02 Apr 08:44,None,0:07:46,
2017-04-02 08:51:43,Reconnected,Sun 02 Apr 08:51,0:07:30,None,
2017-04-02 09:06:52,Disconnected,Sun 02 Apr 09:03,None,0:12:01,
2017-04-02 09:16:16,Reconnected,Sun 02 Apr 09:16,0:12:31,None,
2017-04-02 09:21:30,Disconnected,Sun 02 Apr 09:18,None,0:02:23,
2017-04-02 09:51:37,Reconnected,Sun 02 Apr 09:51,0:32:58,None,
2017-04-02 12:53:50,Currently disconnected,Sun 02 Apr 12:53,None,None,
2017-04-02 20:08:54,Disconnected,Sun 02 Apr 20:05,None,10:14:08,
2017-04-05 07:06:45,Reconnected,Wed 05 Apr 07:06,2 days, 11:00:59,None,
2017-04-05 07:28:10,Disconnected,Wed 05 Apr 07:24,None,0:17:23,
2017-04-05 23:30:37,Reconnected,Wed 05 Apr 23:30,16:06:28,None,
2017-04-05 23:39:03,Disconnected,Wed 05 Apr 23:35,None,0:04:38,
2017-04-06 00:36:56,Reconnected,Thu 06 Apr 00:36,1:01:40,None,
2017-04-06 00:42:54,Disconnected,Thu 06 Apr 00:39,None,0:02:36,
2017-04-06 01:13:23,Reconnected,Thu 06 Apr 01:13,0:33:50,None,
2017-04-06 01:20:12,Disconnected,Thu 06 Apr 01:16,None,0:02:43,
2017-04-06 06:22:27,Reconnected,Thu 06 Apr 06:22,5:06:20,None,
2017-04-06 06:33:52,Disconnected,Thu 06 Apr 06:30,None,0:07:46,
2017-04-06 19:50:10,Reconnected,Thu 06 Apr 19:50,13:19:56,None,
2017-04-06 19:52:44,Currently disconnected,Thu 06 Apr 19:52,None,None,
2017-04-07 07:25:39,Disconnected,Fri 07 Apr 07:21,None,11:31:44,
